observation_date,RBCHBIS
2005-01-01,90.71
2005-02-01,89.93
2005-03-01,90.11
2005-04-01,90.13
2005-05-01,89.46
2005-06-01,88.29
2005-07-01,86.66
2005-08-01,87.19
2005-09-01,87.09
2005-10-01,87.37
2005-11-01,87.10
2005-12-01,86.70
2006-01-01,86.77
2006-02-01,85.87
2006-03-01,85.12
2006-04-01,85.50
2006-05-01,87.27
2006-06-01,87.15
2006-07-01,86.14
2006-08-01,85.71
2006-09-01,85.02
2006-10-01,84.71
2006-11-01,84.82
2006-12-01,84.80
2007-01-01,83.05
2007-02-01,82.75
2007-03-01,83.12
2007-04-01,82.68
2007-05-01,81.88
2007-06-01,81.47
2007-07-01,81.23
2007-08-01,81.83
2007-09-01,81.54
2007-10-01,81.04
2007-11-01,82.75
2007-12-01,82.05
2008-01-01,83.94
2008-02-01,84.11
2008-03-01,87.14
2008-04-01,86.60
2008-05-01,84.90
2008-06-01,85.17
2008-07-01,84.60
2008-08-01,83.15
2008-09-01,83.77
2008-10-01,87.10
2008-11-01,86.43
2008-12-01,86.98
2009-01-01,89.11
2009-02-01,88.65
2009-03-01,88.11
2009-04-01,87.90
2009-05-01,88.47
2009-06-01,88.84
2009-07-01,88.17
2009-08-01,87.96
2009-09-01,88.88
2009-10-01,89.71
2009-11-01,89.96
2009-12-01,89.46
2010-01-01,90.13
2010-02-01,89.19
2010-03-01,89.44
2010-04-01,90.14
2010-05-01,89.15
2010-06-01,90.47
2010-07-01,93.26
2010-08-01,93.30
2010-09-01,95.54
2010-10-01,94.87
2010-11-01,94.39
2010-12-01,97.46
2011-01-01,97.51
2011-02-01,96.63
2011-03-01,98.18
2011-04-01,97.92
2011-05-01,100.81
2011-06-01,104.45
2011-07-01,106.12
2011-08-01,111.25
2011-09-01,102.52
2011-10-01,99.88
2011-11-01,99.20
2011-12-01,98.02
2012-01-01,97.88
2012-02-01,98.55
2012-03-01,98.57
2012-04-01,98.46
2012-05-01,97.79
2012-06-01,97.19
2012-07-01,95.88
2012-08-01,95.57
2012-09-01,95.99
2012-10-01,96.13
2012-11-01,95.98
2012-12-01,96.09
2013-01-01,95.43
2013-02-01,95.74
2013-03-01,94.67
2013-04-01,95.38
2013-05-01,93.77
2013-06-01,95.46
2013-07-01,94.89
2013-08-01,95.65
2013-09-01,95.52
2013-10-01,96.13
2013-11-01,96.04
2013-12-01,96.99
2014-01-01,96.48
2014-02-01,97.21
2014-03-01,97.97
2014-04-01,97.52
2014-05-01,97.23
2014-06-01,96.76
2014-07-01,96.58
2014-08-01,96.26
2014-09-01,95.41
2014-10-01,94.93
2014-11-01,95.38
2014-12-01,95.17
2015-01-01,102.39
2015-02-01,103.84
2015-03-01,101.68
2015-04-01,102.83
2015-05-01,104.15
2015-06-01,104.18
2015-07-01,102.71
2015-08-01,101.19
2015-09-01,100.65
2015-10-01,100.67
2015-11-01,99.39
2015-12-01,100.09
2016-01-01,100.04
2016-02-01,99.90
2016-03-01,99.96
2016-04-01,100.48
2016-05-01,99.33
2016-06-01,100.52
2016-07-01,100.21
2016-08-01,100.22
2016-09-01,99.75
2016-10-01,99.63
2016-11-01,100.43
2016-12-01,99.45
2017-01-01,100.17
2017-02-01,100.47
2017-03-01,100.07
2017-04-01,99.58
2017-05-01,99.47
2017-06-01,100.10
2017-07-01,99.30
2017-08-01,96.98
2017-09-01,96.33
2017-10-01,95.40
2017-11-01,94.52
2017-12-01,93.99
2018-01-01,94.45
2018-02-01,96.16
2018-03-01,94.97
2018-04-01,93.24
2018-05-01,93.09
2018-06-01,94.69
2018-07-01,94.64
2018-08-01,96.17
2018-09-01,97.60
2018-10-01,95.81
2018-11-01,95.75
2018-12-01,96.33
2019-01-01,96.15
2019-02-01,95.07
2019-03-01,95.36
2019-04-01,94.73
2019-05-01,95.30
2019-06-01,96.72
2019-07-01,96.70
2019-08-01,98.50
2019-09-01,97.60
2019-10-01,96.44
2019-11-01,96.14
2019-12-01,96.54
2020-01-01,97.75
2020-02-01,98.24
2020-03-01,100.67
2020-04-01,100.54
2020-05-01,100.52
2020-06-01,99.85
2020-07-01,100.31
2020-08-01,101.06
2020-09-01,100.54
2020-10-01,100.69
2020-11-01,99.85
2020-12-01,99.98
2021-01-01,99.66
2021-02-01,98.47
2021-03-01,96.17
2021-04-01,96.49
2021-05-01,97.37
2021-06-01,97.03
2021-07-01,97.07
2021-08-01,97.66
2021-09-01,96.42
2021-10-01,96.80
2021-11-01,97.58
2021-12-01,98.01
2022-01-01,97.56
2022-02-01,96.85
2022-03-01,97.21
2022-04-01,96.38
2022-05-01,94.75
2022-06-01,95.66
2022-07-01,97.73
2022-08-01,99.25
2022-09-01,98.85
2022-10-01,96.82
2022-11-01,97.32
2022-12-01,97.94
2023-01-01,97.50
2023-02-01,98.20
2023-03-01,98.00
2023-04-01,99.05
2023-05-01,100.07
2023-06-01,100.10
2023-07-01,101.81
2023-08-01,102.23
2023-09-01,101.15
2023-10-01,101.44
2023-11-01,101.10
2023-12-01,103.07
2024-01-01,104.21
2024-02-01,102.87
2024-03-01,100.74
2024-04-01,99.41
2024-05-01,98.98
2024-06-01,100.99
2024-07-01,100.31
2024-08-01,102.71
2024-09-01,102.81
2024-10-01,102.24
2024-11-01,102.04
2024-12-01,101.42
