observation_date,RBGBBIS
2005-01-01,125.31
2005-02-01,126.13
2005-03-01,126.16
2005-04-01,127.25
2005-05-01,126.41
2005-06-01,127.23
2005-07-01,123.55
2005-08-01,124.54
2005-09-01,125.32
2005-10-01,123.92
2005-11-01,123.84
2005-12-01,123.99
2006-01-01,122.50
2006-02-01,122.45
2006-03-01,121.52
2006-04-01,121.40
2006-05-01,125.48
2006-06-01,125.42
2006-07-01,125.16
2006-08-01,127.90
2006-09-01,128.11
2006-10-01,128.27
2006-11-01,128.79
2006-12-01,130.31
2007-01-01,130.66
2007-02-01,130.09
2007-03-01,128.19
2007-04-01,128.62
2007-05-01,127.94
2007-06-01,128.85
2007-07-01,128.87
2007-08-01,128.33
2007-09-01,126.51
2007-10-01,125.71
2007-11-01,124.15
2007-12-01,122.19
2008-01-01,116.83
2008-02-01,116.16
2008-03-01,114.41
2008-04-01,112.39
2008-05-01,112.42
2008-06-01,112.69
2008-07-01,112.44
2008-08-01,111.44
2008-09-01,109.73
2008-10-01,109.35
2008-11-01,102.88
2008-12-01,97.00
2009-01-01,94.59
2009-02-01,97.87
2009-03-01,95.52
2009-04-01,97.46
2009-05-01,99.81
2009-06-01,104.27
2009-07-01,103.99
2009-08-01,103.96
2009-09-01,101.14
2009-10-01,98.74
2009-11-01,100.91
2009-12-01,100.38
2010-01-01,100.90
2010-02-01,100.04
2010-03-01,96.44
2010-04-01,98.89
2010-05-01,98.84
2010-06-01,101.44
2010-07-01,101.85
2010-08-01,103.69
2010-09-01,101.49
2010-10-01,99.07
2010-11-01,101.00
2010-12-01,100.94
2011-01-01,101.28
2011-02-01,102.53
2011-03-01,100.51
2011-04-01,100.23
2011-05-01,100.37
2011-06-01,99.25
2011-07-01,99.12
2011-08-01,100.70
2011-09-01,100.58
2011-10-01,100.76
2011-11-01,102.02
2011-12-01,102.86
2012-01-01,102.42
2012-02-01,102.42
2012-03-01,102.45
2012-04-01,104.25
2012-05-01,105.78
2012-06-01,104.63
2012-07-01,106.08
2012-08-01,106.22
2012-09-01,106.35
2012-10-01,105.91
2012-11-01,106.21
2012-12-01,106.29
2013-01-01,104.25
2013-02-01,101.30
2013-03-01,100.27
2013-04-01,101.76
2013-05-01,102.21
2013-06-01,102.70
2013-07-01,101.54
2013-08-01,103.06
2013-09-01,105.28
2013-10-01,105.18
2013-11-01,106.43
2013-12-01,107.85
2014-01-01,108.78
2014-02-01,109.39
2014-03-01,108.90
2014-04-01,109.84
2014-05-01,110.47
2014-06-01,111.66
2014-07-01,112.86
2014-08-01,111.87
2014-09-01,111.30
2014-10-01,111.20
2014-11-01,110.57
2014-12-01,111.27
2015-01-01,111.52
2015-02-01,113.96
2015-03-01,113.99
2015-04-01,113.45
2015-05-01,115.12
2015-06-01,116.13
2015-07-01,117.74
2015-08-01,118.60
2015-09-01,116.41
2015-10-01,115.84
2015-11-01,118.26
2015-12-01,116.19
2016-01-01,112.40
2016-02-01,109.88
2016-03-01,108.29
2016-04-01,106.96
2016-05-01,109.30
2016-06-01,107.13
2016-07-01,100.30
2016-08-01,99.13
2016-09-01,99.50
2016-10-01,94.28
2016-11-01,97.20
2016-12-01,99.63
2017-01-01,97.57
2017-02-01,98.49
2017-03-01,97.23
2017-04-01,99.18
2017-05-01,100.14
2017-06-01,97.97
2017-07-01,98.03
2017-08-01,96.45
2017-09-01,98.30
2017-10-01,98.54
2017-11-01,99.28
2017-12-01,100.07
2018-01-01,100.28
2018-02-01,100.54
2018-03-01,100.52
2018-04-01,101.80
2018-05-01,100.25
2018-06-01,99.85
2018-07-01,99.68
2018-08-01,99.25
2018-09-01,100.09
2018-10-01,100.41
2018-11-01,100.64
2018-12-01,98.85
2019-01-01,99.50
2019-02-01,100.71
2019-03-01,101.92
2019-04-01,101.36
2019-05-01,100.74
2019-06-01,98.63
2019-07-01,97.24
2019-08-01,96.13
2019-09-01,98.27
2019-10-01,99.63
2019-11-01,101.71
2019-12-01,102.77
2020-01-01,102.26
2020-02-01,102.92
2020-03-01,98.39
2020-04-01,100.51
2020-05-01,99.40
2020-06-01,98.66
2020-07-01,98.96
2020-08-01,100.20
2020-09-01,99.36
2020-10-01,99.32
2020-11-01,100.21
2020-12-01,99.81
2021-01-01,100.49
2021-02-01,102.07
2021-03-01,103.41
2021-04-01,103.35
2021-05-01,104.23
2021-06-01,104.48
2021-07-01,104.11
2021-08-01,104.73
2021-09-01,104.06
2021-10-01,105.13
2021-11-01,104.91
2021-12-01,104.88
2022-01-01,105.57
2022-02-01,105.16
2022-03-01,104.11
2022-04-01,105.16
2022-05-01,103.36
2022-06-01,102.62
2022-07-01,102.62
2022-08-01,103.03
2022-09-01,99.26
2022-10-01,101.31
2022-11-01,102.95
2022-12-01,104.35
2023-01-01,101.94
2023-02-01,102.15
2023-03-01,103.09
2023-04-01,105.01
2023-05-01,106.86
2023-06-01,108.87
2023-07-01,109.19
2023-08-01,108.78
2023-09-01,108.10
2023-10-01,106.84
2023-11-01,107.17
2023-12-01,108.35
2024-01-01,108.34
2024-02-01,108.49
2024-03-01,109.08
2024-04-01,108.65
2024-05-01,109.12
2024-06-01,110.22
2024-07-01,110.52
2024-08-01,109.79
2024-09-01,111.16
2024-10-01,111.73
2024-11-01,111.54
2024-12-01,111.99
